,City,Cloudiness,Date,Humidity,Lat,Lng,Max_temp,Wind_speed
420,deming,1,1572895883,15,32.27,-107.76,24.0,4.6
421,portmore,20,1572895883,58,17.97,-76.87,31.0,8.2
422,huanan,69,1572895884,35,46.24,130.56,0.28,3.25
423,the pas,90,1572895596,56,53.82,-101.24,-9.0,7.7
424,pilar,75,1572895884,88,-34.46,-58.91,22.78,3.1
425,slobodskoy,100,1572895884,97,58.73,50.18,3.15,4.94
426,ishigaki,90,1572895884,73,24.34,124.16,24.16,13.36
427,orlik,75,1572895885,100,53.95,17.74,10.56,2.1
428,ust-ilimsk,100,1572895885,73,57.96,102.73,-8.57,1.84
429,marystown,6,1572895885,2,47.17,-55.16,8.33,1.79
430,moussoro,0,1572895885,10,13.64,16.49,31.1,3.05
431,araouane,24,1572895886,15,18.9,-3.53,29.59,4.28
432,ust-barguzin,100,1572895886,67,53.41,109.03,-5.29,3.75
433,arlit,0,1572895886,12,18.74,7.39,30.98,3.69
434,havoysund,75,1572895886,80,71.0,24.66,2.0,13.9
435,miyako,7,1572895887,87,33.63,130.94,10.56,1.0
436,fayaoue,47,1572895887,80,-20.65,166.53,22.95,6.11
437,wellington,0,1572895711,87,-41.29,174.78,14.0,12.3
438,becicherecu mic,20,1572895888,93,45.83,21.05,13.89,2.1
439,makat,0,1572895888,61,47.65,53.35,-2.5,3.9
440,palauig,100,1572895888,78,15.44,119.9,24.85,2.99
441,flin flon,90,1572895889,56,54.77,-101.88,-10.0,7.2
442,san patricio,98,1572895889,52,-26.98,-56.83,31.1,4.08
443,bermejo,62,1572895889,47,-22.73,-64.34,30.31,2.09
444,ust-karsk,86,1572895889,69,52.71,118.82,-11.63,2.14
445,vanavara,42,1572895889,92,60.35,102.28,-18.06,0.88
446,drayton valley,100,1572895708,95,53.22,-114.98,-0.95,2.93
447,acajutla,20,1572895890,66,13.59,-89.83,30.0,2.68
448,takaka,0,1572895891,88,-40.86,172.81,19.44,3.13
449,portland,20,1572895631,45,43.66,-70.25,10.56,6.2
450,pontiac,40,1572895891,57,42.64,-83.29,12.22,6.2
451,angoche,15,1572895891,93,-16.23,39.91,24.17,1.97
452,monrovia,40,1572895892,88,6.33,-10.8,27.0,2.81
453,kilindoni,0,1572895892,75,-7.91,39.67,27.53,4.89
454,frontera comalapa,12,1572895892,69,15.66,-92.14,20.5,2.29
455,pitimbu,40,1572895893,65,-7.47,-34.81,28.0,5.7
456,richards bay,83,1572895678,77,-28.77,32.06,21.38,5.27
457,esperance,23,1572895717,93,-33.86,121.89,10.0,2.1
458,fernie,75,1572895893,65,49.5,-115.06,5.0,1.0
459,cayenne,85,1572895893,66,4.94,-52.33,31.0,5.7
460,qasigiannguit,40,1572895894,48,68.82,-51.19,-7.0,2.1
461,ghanzi,33,1572895894,30,-21.7,21.65,27.03,2.96
462,harper,1,1572895881,50,30.3,-99.24,26.11,5.7
463,antalaha,92,1572895895,78,-14.9,50.28,25.53,2.83
464,diu,4,1572895895,70,20.71,70.98,27.22,3.76
465,wainwright,100,1572895812,49,52.84,-110.86,-2.32,2.33
466,kruisfontein,52,1572895895,89,-34.0,24.73,13.22,4.01
467,antigonish,20,1572895896,78,45.62,-61.99,9.44,4.6
468,camacha,40,1572895896,73,33.08,-16.33,22.0,7.7
469,sioux lookout,90,1572895896,79,50.1,-91.92,-3.0,5.7
470,nanortalik,100,1572895896,79,60.14,-45.24,1.81,22.38
471,canberra,90,1572895806,70,-35.3,149.1,9.0,2.6
472,sandwick,99,1572895815,89,54.57,-2.89,9.44,5.76
473,mahon,75,1572895897,87,51.89,-8.4,9.0,7.7
474,palmas,20,1572895702,44,-10.18,-48.33,34.0,3.1
475,nuuk,90,1572895685,59,64.17,-51.74,0.0,5.7
476,fort beaufort,14,1572895898,95,-32.78,26.63,12.15,2.21
477,gualeguay,34,1572895899,83,-33.15,-59.31,24.0,2.36
478,concarneau,100,1572895899,93,47.88,-3.92,13.33,5.1
479,kloulklubed,90,1572895899,83,7.04,134.26,26.0,8.7
480,curvelo,72,1572895900,52,-18.76,-44.43,27.28,1.63
481,laranjeiras,3,1572895900,62,-10.8,-37.17,29.0,8.7
482,evensk,100,1572895880,82,61.92,159.24,-3.04,6.08
483,am timan,0,1572895901,37,11.04,20.28,25.53,0.95
484,nador,18,1572895901,77,35.17,-2.93,19.0,7.7
485,mackay,90,1572895901,100,53.65,-115.58,0.0,2.6
486,manthani,1,1572895901,85,18.65,79.67,22.78,1.76
487,vagur,98,1572895902,71,61.47,-6.81,5.26,9.84
488,korcula,20,1572895902,82,42.96,17.14,13.0,1.0
489,sinnamary,43,1572895902,81,5.38,-52.96,28.06,7.85
490,owando,52,1572895902,96,-0.49,15.91,21.84,0.12
491,palora,75,1572895902,94,-1.7,-77.97,26.0,1.5
492,cedar city,1,1572895903,14,37.68,-113.06,14.0,1.5
493,leh,0,1572895903,54,34.16,77.58,-4.63,1.45
494,daru,2,1572895903,80,-9.07,143.21,24.88,2.8
495,bereda,20,1572895903,71,43.27,-7.54,12.22,5.1
496,beyneu,0,1572895903,61,45.32,55.19,-0.46,3.31
497,san quintin,59,1572895904,90,17.54,120.52,23.32,1.66
498,leningradskiy,2,1572895904,74,69.38,178.42,-7.57,2.44
499,general roca,67,1572895904,14,-39.03,-67.58,21.0,9.8
500,zaragoza,40,1572895741,59,13.59,-89.29,32.0,2.1
501,yen bai,93,1572895905,76,21.7,104.87,19.78,0.34
502,kovylkino,99,1572895905,73,54.04,43.91,4.1,7.63
503,constitucion,40,1572895905,43,23.99,-104.67,22.0,2.1
504,comodoro rivadavia,75,1572895750,20,-45.87,-67.48,19.0,10.8
505,fare,19,1572895906,76,-16.7,-151.02,26.99,3.14
506,nakapiripirit,86,1572895906,45,1.81,34.71,25.26,3.99
507,moosburg,75,1572895906,93,46.66,14.17,9.44,0.5
508,yeniseysk,59,1572895906,81,58.45,92.17,-6.82,1.67
509,albolote,75,1572895906,67,37.23,-3.66,17.22,1.5
510,boddam,75,1572895907,87,57.47,-1.78,8.0,5.7
511,novopokrovka,60,1572895907,81,49.84,36.56,11.0,6.0
512,chapais,20,1572895907,88,49.78,-74.86,0.0,4.6
513,bonthe,0,1572895907,82,7.53,-12.5,26.56,2.59
514,holme,100,1572895908,93,56.11,10.17,7.0,6.2
515,mehamn,75,1572895908,80,71.03,27.85,2.0,14.4
516,lata,0,1572895908,44,30.78,78.62,-4.73,1.47
517,mogzon,100,1572895909,64,51.74,111.97,-9.09,1.3
518,pyaozerskiy,72,1572895909,73,65.83,31.17,-4.23,5.8
519,bonfim,29,1572895724,42,3.36,-59.84,34.52,4.8
520,shu,100,1572895910,79,43.6,73.76,2.57,1.62
521,ambovombe,0,1572895910,97,-25.18,46.09,20.12,2.44
522,tiznit,97,1572895910,91,29.7,-9.73,13.8,2.09
523,balabac,95,1572895910,77,7.99,117.06,28.0,6.18
524,teguise,20,1572895910,73,29.06,-13.56,22.0,3.1
525,kokopo,100,1572895911,91,-4.34,152.27,25.1,13.2
526,glenwood springs,1,1572895911,31,39.55,-107.33,11.11,9.3
527,gebre guracha,0,1572895911,65,9.8,38.4,13.75,2.17
528,porto nacional,20,1572895911,44,-10.7,-48.41,34.0,3.1
529,basoko,78,1572895912,91,1.23,23.61,21.29,0.8
530,pathein,93,1572895912,91,16.78,94.73,24.25,1.95
531,bilma,0,1572895912,17,18.69,12.92,26.3,2.75
532,temerloh,100,1572895913,97,3.45,102.42,23.23,1.03
533,cabedelo,40,1572895913,65,-6.97,-34.84,28.0,5.7
534,ganta,89,1572895913,94,7.31,-8.54,21.52,0.72
535,punta cardon,96,1572895914,73,11.61,-70.22,29.12,11.45
536,la rioja,0,1572895914,26,-29.41,-66.86,26.38,2.67
537,sao joao da barra,0,1572895914,49,-21.64,-41.05,32.0,2.1
538,rio gallegos,75,1572895915,32,-51.62,-69.22,13.0,13.4
539,hastings,0,1572895915,67,-39.64,176.84,17.5,1.56
540,pimenteiras,99,1572895915,43,-6.24,-41.42,29.51,1.74
541,yining,0,1572895915,79,29.04,114.56,9.71,0.55
542,gornopravdinsk,100,1572895916,76,60.06,69.92,-5.02,6.51
543,santa isabel do rio negro,67,1572895916,59,-0.41,-65.02,31.71,0.95
544,bar harbor,1,1572895916,45,44.39,-68.2,10.0,5.7
545,frontera,75,1572895917,78,18.53,-92.64,28.0,4.1
546,san marcos,20,1572895917,49,14.97,-91.79,33.0,4.1
547,malindi,40,1572895917,83,-3.22,40.12,27.0,2.6
548,llanes,0,1572895917,65,43.42,-4.75,13.33,12.3
549,xuddur,100,1572895918,80,4.12,43.89,24.26,0.82
550,inongo,50,1572895918,88,-1.93,18.29,23.04,0.88
551,boguchany,100,1572895918,87,58.38,97.46,-8.58,1.59
552,moree,48,1572895919,67,-29.46,149.84,15.0,8.2
553,elk city,1,1572895919,39,35.41,-99.4,17.0,5.1
554,hami,93,1572895919,27,42.84,93.51,7.85,0.37
555,at-bashi,100,1572895919,89,41.17,75.81,-6.38,1.22
556,saint-ambroise,75,1572895920,51,48.56,-71.32,4.0,2.6
557,sarkand,100,1572895720,85,45.41,79.91,4.91,4.33
558,hirara,100,1572895920,70,24.8,125.28,24.53,11.68
