,City,Cloudiness,Date,Humidity,Lat,Lng,Max_temp,Wind_speed
95,soyo,20,1572895804,88,-6.13,12.37,27.0,3.1
96,tromso,40,1572895804,86,69.65,18.96,-1.0,8.7
97,qaanaaq,100,1572895804,88,77.48,-69.36,-10.26,2.65
98,guerrero negro,0,1572895804,39,27.97,-114.04,25.5,5.28
99,hithadhoo,46,1572895805,73,-0.6,73.08,27.38,1.87
100,cabo san lucas,75,1572895738,62,22.89,-109.91,31.11,1.5
101,dafeng,0,1572895805,67,33.2,120.46,9.77,2.8
102,san ramon,40,1572895805,69,12.92,-85.84,24.0,4.1
103,hilo,1,1572895805,65,19.71,-155.08,28.0,2.1
104,cao bang,18,1572895806,75,22.67,106.25,14.29,1.47
105,sydney,20,1572895673,77,-33.85,151.22,15.56,7.2
106,upernavik,43,1572895610,62,72.79,-56.15,-8.91,3.23
107,bud,0,1572895807,58,62.91,6.91,2.0,4.1
108,saint-philippe,90,1572895807,56,45.36,-73.48,8.0,5.7
109,sur,6,1572895575,75,22.57,59.53,26.02,3.91
110,vila velha,20,1572895578,62,-3.71,-38.6,30.0,6.7
111,hobart,20,1572895808,70,-42.88,147.33,6.67,4.1
112,castro,56,1572895809,73,-42.48,-73.76,7.96,3.28
113,port macquarie,75,1572895809,72,-31.43,152.91,16.0,1.0
114,trairi,35,1572895708,44,-3.28,-39.27,32.33,5.81
115,san cristobal,68,1572895809,61,14.68,-86.92,25.65,1.56
116,santa cruz,28,1572895771,38,-6.22,-36.02,32.7,5.56
117,dingle,31,1572895810,88,11.0,122.67,23.5,1.51
118,alvorada,90,1572895810,100,-30.0,-51.08,21.11,5.1
119,palmer,20,1572895810,62,-34.85,139.16,13.0,3.1
120,arcata,1,1572895559,81,40.87,-124.08,17.78,2.1
121,port lincoln,79,1572895811,80,-34.72,135.86,9.93,3.45
122,rondonopolis,79,1572895811,42,-16.46,-54.64,33.13,2.56
123,port elizabeth,1,1572895811,35,39.31,-74.98,16.11,4.1
